Trade #,Type,Date/Time,Signal,Price INR,Position size (qty),Position size (value),Net P&L INR,Net P&L %,Run-up INR,Run-up %,Drawdown INR,Drawdown %,Cumulative P&L INR,Cumulative P&L %
493,Entry long,2025-05-29 15:01,Long,56763.3,1,56763.3,5590.69,0.28,11438.74,0.58,-596.01,-0.03,-406791.78,-4.07
494,Exit short,2025-05-30 11:16,Close entry(s) order Short,56931.15,1,56877.35,-3077.99,-0.15,1964.79,0.10,-2515.21,-0.13,-409869.75,-4.10
494,Entry short,2025-05-30 10:35,Short,56877.35,1,56877.35,-3077.99,-0.15,1964.79,0.10,-2515.21,-0.13,-409869.75,-4.10
495,Exit long,2025-05-30 15:09,Close entry(s) order Long,57152.35,1,57008.15,3848.31,0.19,7423.41,0.37,-1998.59,-0.10,-406021.44,-4.06
495,Entry long,2025-05-30 13:11,Long,57008.15,1,57008.15,3848.31,0.19,7423.41,0.37,-1998.59,-0.10,-406021.44,-4.06
496,Exit short,2025-06-02 09:41,Close entry(s) order Short,57041.95,1,56951.15,-4374.93,-0.22,4127.01,0.21,-3775.99,-0.19,-410396.38,-4.10
496,Entry short,2025-06-02 09:16,Short,56951.15,1,56951.15,-4374.93,-0.22,4127.01,0.21,-3775.99,-0.19,-410396.38,-4.10
497,Exit long,2025-06-02 13:00,Close entry(s) order Long,57123.55,1,57092.15,-100.26,-0.01,4125.53,0.21,-2174.47,-0.11,-410496.62,-4.10
497,Entry long,2025-06-02 11:41,Long,57092.15,1,57092.15,-100.26,-0.01,4125.53,0.21,-2174.47,-0.11,-410496.62,-4.10
498,Exit long,2025-06-02 14:08,Close entry(s) order Long,57162.15,1,57257.15,-4526.4,-0.23,0,0.00,-4220.2,-0.21,-415023.03,-4.15
498,Entry long,2025-06-02 13:39,Long,57257.15,1,57257.15,-4526.4,-0.23,0,0.00,-4220.2,-0.21,-415023.03,-4.15
499,Exit short,2025-06-02 14:53,Close entry(s) order Short,57177.55,1,57105.15,-3733.97,-0.19,380.4,0.02,-3133.6,-0.16,-418757,-4.19
499,Entry short,2025-06-02 14:33,Short,57105.15,1,57105.15,-3733.97,-0.19,380.4,0.02,-3133.6,-0.16,-418757,-4.19
500,Exit long,2025-06-03 09:19,Close entry(s) order Long,57260.55,1,57282.35,-1965.7,-0.10,5341.54,0.27,-1987.46,-0.10,-420722.72,-4.21
500,Entry long,2025-06-02 15:01,Long,57282.35,1,57282.35,-1965.7,-0.10,5341.54,0.27,-1987.46,-0.10,-420722.72,-4.21
501,Exit short,2025-06-03 13:36,Close entry(s) order Short,57077.15,1,57148.15,1285.63,0.06,7337.94,0.37,-3449.06,-0.17,-419437.06,-4.19
