Trade #,Type,Date/Time,Signal,Price INR,Position size (qty),Position size (value),Net P&L INR,Net P&L %,Run-up INR,Run-up %,Drawdown INR,Drawdown %,Cumulative P&L INR,Cumulative P&L %
5775,Entry short,2024-06-13 12:57:00,Short,54562.1,1,54562.1,-2054.33,-0.11,0,0.00,-1481.15,-0.08,-6881101,-68.81
5776,Exit long,2024-06-13 13:22:20,Close entry(s) order Long,54611.05,1,54622.95,-1563.46,-0.08,0,0.00,-1620.04,-0.08,-6882664.5,-68.83
5776,Entry long,2024-06-13 13:11:00,Long,54622.95,1,54622.95,-1563.46,-0.08,0,0.00,-1620.04,-0.08,-6882664.5,-68.83
5777,Exit short,2024-06-13 13:38:40,Close entry(s) order Short,54584,1,54574.15,-1490.91,-0.08,98.97,0.01,-1409.53,-0.07,-6884155.5,-68.84
5777,Entry short,2024-06-13 13:25:40,Short,54574.15,1,54574.15,-1490.91,-0.08,98.97,0.01,-1409.53,-0.07,-6884155.5,-68.84
5778,Exit long,2024-06-13 13:43:50,Close entry(s) order Long,54577.05,1,54597.8,-1872.59,-0.10,0,0.00,-1401.03,-0.07,-6886028,-68.86
5778,Entry long,2024-06-13 13:43:00,Long,54597.8,1,54597.8,-1872.59,-0.10,0,0.00,-1401.03,-0.07,-6886028,-68.86
5779,Exit short,2024-06-13 13:54:20,Close entry(s) order Short,54561.25,1,54553.05,-1432.7,-0.08,587.44,0.03,-1171.31,-0.06,-6887461,-68.87
5779,Entry short,2024-06-13 13:45:00,Short,54553.05,1,54553.05,-1432.7,-0.08,587.44,0.03,-1171.31,-0.06,-6887461,-68.87
5780,Exit short,2024-06-13 14:15:00,Close entry(s) order Short,54537,1,54526.95,-1496.92,-0.08,0,0.00,-1466.78,-0.08,-6888957.5,-68.89
5780,Entry short,2024-06-13 14:12:20,Short,54526.95,1,54526.95,-1496.92,-0.08,0,0.00,-1466.78,-0.08,-6888957.5,-68.89
5781,Exit short,2024-06-13 14:23:30,Close entry(s) order Short,54518.1,1,54491.05,-2091.35,-0.11,22.84,0.00,-1842.66,-0.10,-6891049,-68.91
5781,Entry short,2024-06-13 14:16:20,Short,54491.05,1,54491.05,-2091.35,-0.11,22.84,0.00,-1842.66,-0.10,-6891049,-68.91
5782,Exit short,2024-06-13 14:37:30,Close entry(s) order Short,54506.05,1,54473.5,-2283.54,-0.12,0,0.00,-1989.47,-0.10,-6893332.5,-68.93
5782,Entry short,2024-06-13 14:34:50,Short,54473.5,1,54473.5,-2283.54,-0.12,0,0.00,-1989.47,-0.10,-6893332.5,-68.93
5783,Exit long,2024-06-13 14:41:10,Close entry(s) order Long,54502.3,1,54540.65,-2487.2,-0.13,0,0.00,-2144.18,-0.11,-6895820,-68.96
5783,Entry long,2024-06-13 14:40:30,Long,54540.65,1,54540.65,-2487.2,-0.13,0,0.00,-2144.18,-0.11,-6895820,-68.96
5784,Exit short,2024-06-13 15:03:50,Close entry(s) order Short,54488.95,1,54488.4,-1163.51,-0.06,1001.12,0.05,-1434.88,-0.08,-6896983.5,-68.97
5784,Entry short,2024-06-13 14:54:00,Short,54488.4,1,54488.4,-1163.51,-0.06,1001.12,0.05,-1434.88,-0.08,-6896983.5,-68.97
5785,Exit long,2024-06-14 09:16:10,Close entry(s) order Long,54528.35,1,54510.05,-504.4,-0.03,2332.64,0.12,-642.36,-0.03,-6897487.5,-68.97
5785,Entry long,2024-06-13 15:20:10,Long,54510.05,1,54510.05,-504.4,-0.03,2332.64,0.12,-642.36,-0.03,-6897487.5,-68.97
5786,Exit short,2024-06-14 09:36:30,Close entry(s) order Short,54428.2,1,54485.1,847.91,0.04,4049.66,0.21,-946.59,-0.05,-6896640,-68.97
5786,Entry short,2024-06-14 09:20:20,Short,54485.1,1,54485.1,847.91,0.04,4049.66,0.21,-946.59,-0.05,-6896640,-68.97
5787,Exit short,2024-06-14 09:46:40,Close entry(s) order Short,54392.2,1,54353.05,-2512.08,-0.13,0,0.00,-1970.71,-0.10,-6899152,-68.99
5787,Entry short,2024-06-14 09:40:50,Short,54353.05,1,54353.05,-2512.08,-0.13,0,0.00,-1970.71,-0.10,-6899152,-68.99
5788,Exit long,2024-06-14 10:17:00,Close entry(s) order Long,54651.95,1,54445.9,6066.22,0.32,9482.07,0.50,-1796.68,-0.09,-6893085.5,-68.93
5788,Entry long,2024-06-14 09:48:00,Long,54445.9,1,54445.9,6066.22,0.32,9482.07,0.50,-1796.68,-0.09,-6893085.5,-68.93
5789,Exit long,2024-06-14 10:26:30,Close entry(s) order Long,54708.7,1,54752.75,-2691.1,-0.14,0,0.00,-2314.4,-0.12,-6895777,-68.96
5789,Entry long,2024-06-14 10:20:10,Long,54752.75,1,54752.75,-2691.1,-0.14,0,0.00,-2314.4,-0.12,-6895777,-68.96
5790,Exit short,2024-06-14 11:05:00,Close entry(s) order Short,54703.25,1,54708.05,-980.82,-0.05,1119.57,0.06,-1025.93,-0.05,-6896757.5,-68.97
5790,Entry short,2024-06-14 10:51:40,Short,54708.05,1,54708.05,-980.82,-0.05,1119.57,0.06,-1025.93,-0.05,-6896757.5,-68.97
5791,Exit short,2024-06-14 11:37:30,Close entry(s) order Short,54665.8,1,54679.05,-684.37,-0.04,1462.87,0.08,-784.13,-0.04,-6897442,-68.97
