Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
1346,Exit short,2025-01-25 14:13,Close entry(s) order Short,104294.5,1,104200,-157.05,-0.15,93.74,0.09,-131.26,-0.13,-85412.76,-0.85
1346,Entry short,2025-01-25 14:07,Short,104200,1,104200,-157.05,-0.15,93.74,0.09,-131.26,-0.13,-85412.76,-0.85
1347,Exit short,2025-01-25 15:42,Close entry(s) order Short,104402,1,104052.5,-412.04,-0.40,0,0.00,-392.72,-0.38,-85824.79,-0.86
1347,Entry short,2025-01-25 15:39,Short,104052.5,1,104052.5,-412.04,-0.40,0,0.00,-392.72,-0.38,-85824.79,-0.86
1348,Exit long,2025-01-25 17:51,Close entry(s) order Long,104458,1,104432,-36.67,-0.04,187.17,0.18,-122.83,-0.12,-85861.46,-0.86
1348,Entry long,2025-01-25 16:17,Long,104432,1,104432,-36.67,-0.04,187.17,0.18,-122.83,-0.12,-85861.46,-0.86
1349,Exit long,2025-01-25 19:21,Close entry(s) order Long,104606,1,104669,-125.78,-0.12,114.6,0.11,-99.9,-0.10,-85987.24,-0.86
1349,Entry long,2025-01-25 18:21,Long,104669,1,104669,-125.78,-0.12,114.6,0.11,-99.9,-0.10,-85987.24,-0.86
1350,Exit short,2025-01-25 20:31,Close entry(s) order Short,104664,1,104427.5,-299.23,-0.29,0,0.00,-334.83,-0.32,-86286.47,-0.86
1350,Entry short,2025-01-25 20:10,Short,104427.5,1,104427.5,-299.23,-0.29,0,0.00,-334.83,-0.32,-86286.47,-0.86
