Trade #,Type,Date/Time,Signal,Price INR,Position size (qty),Position size (value),Net P&L INR,Net P&L %,Run-up INR,Run-up %,Drawdown INR,Drawdown %,Cumulative P&L INR,Cumulative P&L %
1276,Entry short,2024-05-29 14:31,Short,53619.55,1,53619.55,677.03,0.04,7014.49,0.37,-2414.51,-0.13,-1474134,-14.74
1277,Exit long,2024-05-30 10:15,Close entry(s) order Long,53613.05,1,53782.55,-7060.15,-0.37,3915.28,0.21,-6497.22,-0.35,-1481194.1,-14.81
1277,Entry long,2024-05-30 09:21,Long,53782.55,1,53782.55,-7060.15,-0.37,3915.28,0.21,-6497.22,-0.35,-1481194.1,-14.81
1278,Exit short,2024-05-30 12:05,Close entry(s) order Short,53648.55,1,53559.95,-4226.69,-0.23,1254.12,0.07,-3820.88,-0.20,-1485420.9,-14.85
1278,Entry short,2024-05-30 11:23,Short,53559.95,1,53559.95,-4226.69,-0.23,1254.12,0.07,-3820.88,-0.20,-1485420.9,-14.85
1279,Exit long,2024-05-30 14:12,Close entry(s) order Long,53862.45,1,53766.55,2226.4,0.12,10162.95,0.54,-2080.05,-0.11,-1483194.5,-14.83
1279,Entry long,2024-05-30 12:36,Long,53766.55,1,53766.55,2226.4,0.12,10162.95,0.54,-2080.05,-0.11,-1483194.5,-14.83
1280,Exit short,2024-05-31 09:16,Close entry(s) order Short,53881.05,1,53747.05,-5820.09,-0.31,9128.91,0.49,-6549.34,-0.35,-1489014.6,-14.89
1280,Entry short,2024-05-30 14:33,Short,53747.05,1,53747.05,-5820.09,-0.31,9128.91,0.49,-6549.34,-0.35,-1489014.6,-14.89
1281,Exit short,2024-05-31 11:39,Close entry(s) order Short,53593.05,1,53468.1,-5497.39,-0.29,306.58,0.02,-5459.66,-0.29,-1494512,-14.95
1281,Entry short,2024-05-31 11:30,Short,53468.1,1,53468.1,-5497.39,-0.29,306.58,0.02,-5459.66,-0.29,-1494512,-14.95
1282,Exit long,2024-05-31 14:31,Close entry(s) order Long,53781.05,1,53682.45,2322.63,0.12,11707.33,0.62,-1895.42,-0.10,-1492189.4,-14.92
1282,Entry long,2024-05-31 13:00,Long,53682.45,1,53682.45,2322.63,0.12,11707.33,0.62,-1895.42,-0.10,-1492189.4,-14.92
1283,Exit long,2024-06-03 13:40,Close entry(s) order Long,55633.05,1,55010,20645,1.07,26129.15,1.36,-1701.1,-0.09,-1471544.4,-14.72
1283,Entry long,2024-06-03 09:16,Long,55010,1,55010,20645,1.07,26129.15,1.36,-1701.1,-0.09,-1471544.4,-14.72
1284,Exit short,2024-06-03 13:44,Close entry(s) order Short,55665.8,1,55547.1,-5322.24,-0.27,0,0.00,-5276.74,-0.27,-1476866.5,-14.77
1284,Entry short,2024-06-03 13:42,Short,55547.1,1,55547.1,-5322.24,-0.27,0,0.00,-5276.74,-0.27,-1476866.5,-14.77
1285,Exit long,2024-06-04 09:15,Long SL/TP,54862.9,1,55779.3,-33235.74,-1.70,9905.57,0.51,-32659.68,-1.67,-1510102.2,-15.10
1285,Entry long,2024-06-03 15:10,Long,55779.3,1,55779.3,-33235.74,-1.70,9905.57,0.51,-32659.68,-1.67,-1510102.2,-15.10
1286,Exit short,2024-06-04 12:44,Short SL/TP,51804.05,1,54893.05,106994.68,5.57,143450.38,7.46,-9896.88,-0.51,-1403107.6,-14.03
1286,Entry short,2024-06-04 09:16,Short,54893.05,1,54893.05,106994.68,5.57,143450.38,7.46,-9896.88,-0.51,-1403107.6,-14.03
1287,Exit long,2024-06-04 14:22,Close entry(s) order Long,52075.25,1,52493.35,-15731.47,-0.86,10708.32,0.58,-20861.68,-1.14,-1418839.1,-14.19
1287,Entry long,2024-06-04 13:50,Long,52493.35,1,52493.35,-15731.47,-0.86,10708.32,0.58,-20861.68,-1.14,-1418839.1,-14.19
1288,Exit short,2024-06-05 09:15,Short SL/TP,52444,1,51694.9,-27311.96,-1.51,9323.7,0.52,-26761.3,-1.48,-1446151,-14.46
